佣兵,等级,硬币,任务
阿尔福斯,0,145,0,0/0,,
塔维什·雷矛,29,1755,1,0/70,进行中,使用瞄准射击造成70点伤害。
高弗雷勋爵,1,265,1,0/10,进行中,使用诅咒枪弹10次。
拉索利安,27,538,1,0/55,进行中,使用闪电军团造成55点伤害。
克尔苏加德,1,301,1,0/5,进行中,使用大巫妖的指令5次。
穆坦努斯,29,763,2,0/30,进行中,使用鳞甲嘲讽阻止30点伤害。
塔姆辛·罗姆,25,1133,1,0/55,进行中,使用暗影箭造成55点伤害。
指挥官沃恩,30,643,1,0/110,进行中,使用飞斧投掷造成110点伤害。
萨尔,0,252,0,0/0,,
先知维伦,30,955,1,0/80,进行中,使用神圣冲击恢复80点生命值。
格罗玛什·地狱咆哮,30,1652,2,0/50,进行中,使用惊愕猛击造成50点伤害。
加尔鲁什·地狱咆哮,30,468,2,0/60,进行中,使用部落之力获得60点生命值。
古尔丹,29,230,1,0/70,进行中,使用邪能箭造成70点伤害。
瓦罗克·萨鲁法尔,15,7,1,0/70,进行中,使用动员打击造成70点伤害。
沃金,0,540,0,0/0,,
剑圣萨穆罗,30,2700,8,0/2,进行中,利用赐福：斗士2次。
安娜科德拉,30,239,9,0/140,进行中,使用野兽恢复恢复140点生命值。
玛诺洛斯,0,179,0,0/0,,
玛法里奥·怒风,30,210,12,70/245,进行中,使用大德鲁伊的召唤恢复245点生命值。
乌瑟尔·光明使者,0,270,0,0/0,,
泰兰德·语风,30,778,7,0/2,进行中,完成2个英雄难度悬赏。
考内留斯·罗姆,25,4446,1,0/55,进行中,使用武艺精通造成55点伤害。
斯卡布斯·刀油,1,1483,1,0/15,进行中,造成连击伤害15次。
吉安娜·普罗德摩尔,30,104,12,0/15,进行中,使用浮冰术在一回合内造成30点或以上伤害，完成15次。
鞭笞者特里高雷,28,212,1,0/60,进行中,使用狂暴攻击造成60点伤害。
娜塔莉·塞林,1,453,1,0/70,进行中,使用集束暗影造成70点伤害。
安东尼达斯,0,493,0,0/0,,
瓦里安·乌瑞恩,12,496,1,0/55,进行中,使用爆裂打击造成55点伤害。
巫妖王,0,163,0,0/0,,
安度因·乌瑞恩,30,1014,1,0/55,进行中,使用苦修造成55点伤害。
